subject,experiment_name,age_group,age,trial_type,trial_index,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,choice_label,random_label,target_image,is_right,target_label
Crossact1_p102,Experiment 2,kids,5.302777778,fam-test,8,NA,NA,stims/dog.png,stims/10.png,stims/penguin.png,stims/13.png,NA,NA,NA,NA,stims/penguin.png,NA,penguin,NA,stims/penguin.png,1,stims/find_penguin.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,fam-test,9,NA,NA,stims/13.png,stims/penguin.png,stims/10.png,stims/dog.png,NA,NA,NA,NA,stims/dog.png,NA,dog,NA,stims/dog.png,1,stims/find_dog.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,fam-test,10,NA,NA,stims/13.png,stims/penguin.png,stims/dog.png,stims/10.png,NA,NA,NA,NA,stims/10.png,NA,biffer,NA,stims/13.png,0,stims/find_deela.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,learning,11,zeevo,tibble,stims/30.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,12,leemu,sibu,stims/16.png,stims/28.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,13,pahvy,guffi,stims/21.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,14,tibble,leemu,stims/16.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,15,pahvy,guffi,stims/21.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,16,zeevo,sibu,stims/28.png,stims/30.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,17,sibu,tibble,stims/28.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,18,leemu,zeevo,stims/16.png,stims/30.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,learning,19,guffi,pahvy,stims/21.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,selection,20,NA,NA,stims/30.png,stims/17.png,stims/18.png,stims/28.png,stims/21.png,stims/16.png,NA,NA,stims/21.png,NA,guffi,NA,NA,NA,NA
