subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p397175,adults,Crossact_active_passive,active,learning,leemu,zeevo,stims/5.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
p397175,adults,Crossact_active_passive,active,learning,zeevo,soma,stims/10.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
p397175,adults,Crossact_active_passive,active,learning,noopy,biffer,stims/14.png,stims/3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
p397175,adults,Crossact_active_passive,active,learning,beppo,pahvy,stims/2.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
p397175,adults,Crossact_active_passive,active,learning,noopy,biffer,stims/14.png,stims/3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
p397175,adults,Crossact_active_passive,active,learning,tibble,zeevo,stims/18.png,stims/11.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
p397175,adults,Crossact_active_passive,active,learning,biffer,noopy,stims/14.png,stims/3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
p397175,adults,Crossact_active_passive,active,learning,beppo,pahvy,stims/2.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
p397175,adults,Crossact_active_passive,active,learning,soma,tibble,stims/10.png,stims/11.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
p397175,adults,Crossact_active_passive,active,learning,pahvy,beppo,stims/2.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
p397175,adults,Crossact_active_passive,active,learning,soma,leemu,stims/10.png,stims/5.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
p397175,adults,Crossact_active_passive,active,learning,tibble,leemu,stims/5.png,stims/11.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
p397175,adults,Crossact_active_passive,active,learning,zeevo,leemu,stims/5.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
p397175,adults,Crossact_active_passive,active,selection,NA,NA,stims/3.png,stims/2.png,stims/10.png,stims/5.png,stims/11.png,stims/17.png,stims/18.png,stims/14.png,stims/2.png,stims/14.png,NA,NA,pahvy,biffer,NA,NA,NA,NA,NA,25
p397175,adults,Crossact_active_passive,active,selection,NA,NA,stims/3.png,stims/2.png,stims/10.png,stims/5.png,stims/11.png,stims/17.png,stims/18.png,stims/14.png,stims/3.png,stims/17.png,NA,NA,noopy,beppo,NA,NA,NA,NA,NA,26
p397175,adults,Crossact_active_passive,active,selection,NA,NA,stims/3.png,stims/2.png,stims/10.png,stims/5.png,stims/11.png,stims/17.png,stims/18.png,stims/14.png,stims/2.png,stims/3.png,NA,NA,pahvy,noopy,NA,NA,NA,NA,NA,27
p397175,adults,Crossact_active_passive,active,selection,NA,NA,stims/3.png,stims/2.png,stims/10.png,stims/5.png,stims/11.png,stims/17.png,stims/18.png,stims/14.png,stims/10.png,stims/17.png,NA,NA,soma,beppo,NA,NA,NA,NA,NA,28
